artists_id,acousticness,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_href,uri,valence,release_date,artists_name,genres,release_year
68WwJXWrpo1yVOOIZjLSeT,0.0268,0.506,1.0,248777.0,0.741,https://api.spotify.com/v1/tracks/0UATU9OJxh4m3fwDljdGZn,0UATU9OJxh4m3fwDljdGZn,2.67e-05,1.0,0.121,-4.724,"

Wake up, get paid
'Nother dollar, 'nother day
Go and throw it all away
On Cartier
Creme de la creme
Put my faith in the fun
It's a ritual I live
Tonic and gin

I've been seeing saints holding hands
And my God is trans
And everyone feels alive
And I like to do what's in Vogue
Not what I've been told
Cross my heart and hope to die

Maybe I overcompensate
Call it my naïveté
But I don't wanna go through the motions
Maybe I put it on display
Say some things I shouldn't say
'Cause I don't wanna go through the motions
I don't wanna go through the motions

And I'm not sure
Of anything but couture
And you can say ""c'est la amour""
What I live for
It's all first class
When I'm burning through the cash
When the jet starts to crash
Beautiful trash

I've been seeing saints holding hands
And my God is trans
And everyone feels alive
And I like to do what's in Vogue
Not what I've been told
Cross my heart and hope to die

Maybe I overcompensate
Call it my naïveté
But I don't wanna go through the motions
Maybe I put it on display
Say some things I shouldn't say
'Cause I don't wanna go through the motions
I don't wanna go through the motions
I don't wanna go through the motions

It's all Chanel, go straight to hell
I wish you well, I kiss and tell
My soul to sell 'cause I don't wanna go through the motions
Yves Saint Laurent, do what you want
Light cigarettes and restaurants
I preach it wrong
'Cause I don't wanna go through the motions

Maybe I overcompensate
Call it my naïveté
But I don't wanna go through the motions
Maybe I put it on display
Say some things I shouldn't say
'Cause I don't wanna go through the motions
I don't wanna go through the motions
I don't wanna go through the motions
",1.0,Creme de la creme,Hipsteribrunssi,40.0,https://p.scdn.co/mp3-preview/79a2dd3aa8a9326cdc22a95e8d9dc2f24756db68?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0349,94.042,4.0,https://api.spotify.com/v1/tracks/0UATU9OJxh4m3fwDljdGZn,0UATU9OJxh4m3fwDljdGZn,0.236,2018-09-28,Evalyn,"['electropop', 'indie electro-pop', 'indie poptimism', 'vapor soul']",2018.0
09xj0S68Y1OU1vHMCZAIvz,0.505,0.487,1.0,171573.0,0.297,https://api.spotify.com/v1/tracks/4JH1M62gVDNDhDAUiQB3Qv,4JH1M62gVDNDhDAUiQB3Qv,5.22e-05,11.0,0.0916,-11.445,"
Dame la muerte chiquita
Dame la muerte pequeña
Y así tal vez en tus brazos alcanzaré gracia plena
Su esencia de alta marea
Sus besos de tamarindo
Sus pestañas dos palmeras a cuyo vaivén me rindo
Dicen que usted trae las sombras
Y por dentro está toda herida
Dame la muerte chiquita
Antes del último sueño
Una cosa a Dios yo pido un segundo ser su dueño
La venganza es cosa dulce
Y este machete que tengo
Es por si alguien le hizo daño que yo por usted me muero
Es por si alguien le hizo daño
Que yo por usted...
Dicen que usted trae las sombras
Y por dentro está toda herida
Por una noche en su lecho
Soy capaz de dar la vida
",0.0,La muerte chiquita,Día de Muertos,41.0,https://p.scdn.co/mp3-preview/92ee198a7192f17980bbef3c7864d6766949a1e9?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0915,185.912,3.0,https://api.spotify.com/v1/tracks/4JH1M62gVDNDhDAUiQB3Qv,4JH1M62gVDNDhDAUiQB3Qv,0.289,2001-08-21,Café Tacvba,"['latin', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']",2001.0
6pSsE5y0uJMwYj83KrPyf9,0.133,0.629,1.0,207396.0,0.706,https://api.spotify.com/v1/tracks/0h7Ld5CvgzaUN1zA3tdyPq,0h7Ld5CvgzaUN1zA3tdyPq,0.0,1.0,0.216,-6.784,"

New breed
Stop calling me ambitious when I dream farther than Curry's three point range
It's not a compliment when you doubt my success in a polite way
I'm used to being the underdog 'cause black girls who have minds and a cause are stifled with leashes and clichés
But we new breeds
We run over insults and fuck niggas like Bobby Boucher
We new breeds
We coast over doubts like Tony Hawk in the prime of his X Games

I had to be the one to learn the shit the hard way
Pick up the pieces even though I wasn't the one to blame
No excuses 'cause it only made up my game
Grind up, gotta keep my grind up
I wasn't chasing nothing that was never mine to take
Rockin' the best, dressed head to toe in my mistakes
I got that type of shit, that type of shit don't ever fade
Shine up, gotta keep my shine up

So won't you put that pressure on me?
'Cause then you'll see the best in me

Darling, you ain't notice
But that don't mean we ain't diamonds
And even though we're broken
That don't mean we ain't diamonds
I know that we ain't polished
But that don't mean we ain't diamonds
We rough around the edges
But that don't mean we ain't diamonds

What I got up in my pocket don't come easily
I had to drop it off gwaf it ain't pleasing me
Never play with people that's prepared to cheat on me
Eyes up, got to keep your eyes up
I wake up every morning and I'm feeling hella free
Paid my dues so I can do this shit the way I please
I've been on my grind, I've been waiting patiently
Hustle up, gotta keep your hustle up

So won't you put that pressure on me?
'Cause then you'll see the best in me

Darling, you ain't notice
But that don't mean we ain't diamonds (That don't mean we)
And even though we're broken
That don't mean we ain't diamonds (We)
I know that we ain't polished
But that don't mean we ain't diamonds (That don't mean)
We rough around the edges
But that don't mean we ain't diamonds

We were made under the weight of mountains
So we can take whatever you throw at us

Darling, you ain't notice
But that don't mean we ain't diamonds
And even though we're broken
That don't mean we ain't diamonds
I know that we ain't polished
But that don't mean we ain't diamonds
We rough around the edges
But that don't mean we ain't diamonds (No, no, no, no, no, no)
",1.0,"we, diamonds",POLLEN,37.0,https://p.scdn.co/mp3-preview/05a16fd5b51c4b9c567dd58ee76d7ee3a84e6c35?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.436,81.22,4.0,https://api.spotify.com/v1/tracks/0h7Ld5CvgzaUN1zA3tdyPq,0h7Ld5CvgzaUN1zA3tdyPq,0.543,2019-01-25,Dawn Richard,"['alternative r&b', 'deep pop r&b', 'escape room', 'hip pop', 'indie r&b', 'r&b', 'urban contemporary']",2019.0
7slfeZO9LsJbWgpkIoXBUJ,0.406,0.59,1.0,279000.0,0.597,https://api.spotify.com/v1/tracks/4S1bYWrLOC8smuy8kJzxKQ,4S1bYWrLOC8smuy8kJzxKQ,2.28e-05,9.0,0.169,-6.158,"
Traigo en los bolsillos tanta soledad
Desde que te fuiste no me queda mas
Que una foto gris y un triste sentimiento
Lo que mas lastima es tanta confusion
En cada resquicio de mi corazon
Como hacerte a un lado de mis pensamientos
Por ti, por ti, por ti
He dejado todo sin mirar atras
Aposte la vida y me deje ganar
Te extrao porque vive en mi tu recuerdo te olvido
A cada minuto lo intento te amo es que ya no tengo remedio
Te extrao, te olvido y te amo de nuevo
Te extrao porque vive en mi tu recuerdo te olvido
A cada minuto lo intento te amo es que ya no tengo remedio
Te extrao, te olvido y te amo de nuevo
He perdido todo, hasta la identidad
Y si lo pidieras mas podria dar
Es que cuando se ama, nada es demasiado
Me enseaste el limite da la pasion
Y no me enseaste a decir adios
He aprendido ahora que te has marchado
Por ti, por ti, por ti
He dejado todo sin mirar atras
Aposte la vida y me deje ganar
Te extrao porque vive en mi tu recuerdo te olvido
A cada minuto lo intento te amo es que ya no tengo remedio
Te extrao, te olvido Y te amo de nuevo
",1.0,"Te Extraño, Te Olvido, Te Amo",Radio Corazón,62.0,https://p.scdn.co/mp3-preview/0ab2bbce1d5fd57b1998321a2361572c7e8903e5?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0275,121.051,4.0,https://api.spotify.com/v1/tracks/4S1bYWrLOC8smuy8kJzxKQ,4S1bYWrLOC8smuy8kJzxKQ,0.466,1995-09-12,Ricky Martin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",1995.0
09hVIj6vWgoCDtT03h8ZCa,0.198,0.674,1.0,260000.0,0.582,https://api.spotify.com/v1/tracks/5id38dZomKgo2h4ccxTyzT,5id38dZomKgo2h4ccxTyzT,0.0004,0.0,0.23,-16.658,"

Woo...grand groove, grand groove
Woo...grand groove, grand groove

Rough, rough, rugged
Tough like a nugget
Listen to The Abstract Poetic, don't snub it
The midnight marauder is the hype beat arranger
Don't front on my lyrics or the tool 'cause it's danger
Hook you like a junkie, you'll flip like a monkey
To the openness of the rhythm, so proceed because I'm funky
I get down, down like a fly hooker's panties
Make you catch a spirit and motivate a fanny
I be the fly poet, rappers, they get jelly
Upset when I rock, 'cause yo, they rhymes is smelly
See, I got it going on like a Forbes tax return
Listening to these lyrics when it's hot will make it burn
Baby burn, baby burn, up into the heavens
The skies up above, the one you think of
Is the highly regarded, hell of the people
Your mic and my mic? Come on, yo, no equal (Word!)
So if ya wanna do it to yourself
That is to mess around with the jazz, then just blame yourself
'Cause you made your bed, so now you lay in it
That's your shit on the floor, then go and play in it
I refuse to catch a 'L' in a battle
'Cause yo, I got the jazz and I'll whup a rapper's ass
Into little next to nuthin'
Test me if I'm frontin'
I'll pass with flying colors 'cause yo, I am that brotha that can rock

Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
We've got the jazz, we've got the jazz, come on
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
We've got the jazz
Come on, come on, Phife

No need for introductions 'cause you know who I be
(The Phife Dawg) Yep, the one who loves to slaugher MC's
I got style, grace and razamatazz
I'm like my girl Patrice Rushen, yo, I add pizzazz, now
Most people remember Phife from the Phife like smoothness
But now it's time to hit you with roughneck rudeness
I'm still vexed, fuming, gots to come raw
The first punk that tries to flex, I'll be cracking your jaw
I'll mold you, fold you, roll you up like a spliff
Don't ever try for test or else that ass will get whipped
I'm forever poppin' junk, it's like a fat invite
To any MC who wants to flex, yo, we can do this tonight
Gel up my posse up on Linden and 1-9-2
Pull up my brothas from Sayers Ave., the Brooklyn Zoo
All my crew up in Strong Island, so yo, don't sleep
'Cause it only takes a beat to watch that ass get beat
Brothas wanna play rough, but they can all get some
Wanna be hero, but you're a zero, that means you gets none
Don't ever try to step to a kid you can't get with
Why mess with a brotha that your girl once slept with?
I'm a negro, he's a negro, wanna be a negro too?
But beatin' on a girl, is somethin' that a puss' would do
I love jazz, but that doesn't mean that I'm timid
Not really a gangsta rapper but I can swing it for a minute

Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Come on
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
Who got the jazz? (We've got the jazz)
We got the jazz, we got the jazz, come on

I go...woo..., ha-ha-ha-ha-ha, grand groove, grand groove
Yeah, and it's the beat
Ah baby, ah baby, ah baby, ah baby
Go ooh...ha-ha-ha-ha-ha...grand groove, grand groove
Yeah, and it's the beat
Check it out
We got the jazz, y'all
We got the jazz, y'all
We got the jazz, y'all
Tear it up, y'all
1, 2, y'all
Tear it up, y'all
We got the jazz, y'all
Check it out, y'all
(ad lib)
",1.0,Jazz (We've Got) - Re-Recording,This Is A Tribe Called Quest,35.0,https://p.scdn.co/mp3-preview/fd11a243b6ca78e84c4f303bfcbbd4799d3b3226?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.23,92.65,4.0,https://api.spotify.com/v1/tracks/5id38dZomKgo2h4ccxTyzT,5id38dZomKgo2h4ccxTyzT,0.69,1992-06-01,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']",1992.0
09hVIj6vWgoCDtT03h8ZCa,0.0431,0.887,1.0,239880.0,0.434,https://api.spotify.com/v1/tracks/0tzssbEHymtRq4Nf1wSyQv,0tzssbEHymtRq4Nf1wSyQv,0.0,10.0,0.229,-10.444,"

All we want in this life
Is peace, prosperity and a little paper
Objects, they seem greater
But I'm sure we overcome when we illin' on a drum

We in a world that places heavy emphasis on money synthesis
Y'all can be my witnesses
That a fella fascination with money has grown
To the point that he will shit on his own
We got to have it y'all, its not a Spike Lee cinematic
A piece of paper making niggas get dramatic
But the money doesn't come automatic
Gotta motivate ourselves to go and grab it
We got to get it y'all, in an orderly fashion
Some cats go about it with too much passion
We got to mediate our greedy levels
'Cause the lust of currency can have us sleepin with the devil
Gotta recognize it, realize the power
That this little ma-huckin piece of paper will devour
Man can be greater than the thing he creates
See, I'mma do my thing and see how much I can scrape
Yo, I'd rather have respect than money, no doubt
But listen to me y'all, I want the mass amount
That the Sesame Street Dracula can't Count
So that I can give my people when that thing surmounts
To higher levels.. of being.. so when I'm MC-ing
I hope to see you there steady G-ing (say word)
But the only way we can truly reach that goal
Is finding true inner peace and prospering souls
It's like that


Here comes your royal highness, one of Queens finest
Believe me, honest, you know you can't stop it
Come on son, never leave your mic 'round me
True MC for real, ask my man Shaheed
Strictly focused on what I'm in this rap game for
Not for fame and screwing every whore after whore
With all that AIDS stuff going round
Tell me how that sound
Rather hit the studio and hear some beats that pound
Now, don't get me wrong, I love honeys galore
But see hip-hop's my bread and butter
'Cause that's what I get paid for
See this is what I wanted, Allah helped me to get it
And if the beat is wicked, you know Malik will rip it
From the bottom of my heart, that's where the love starts
The love for breakdancing, my love for the art
And with this love I do hip-hop from the soul
A real MC, who never sweats how many copies are sold
Yeah, I want to go gold, platinum, uh-huh, etcetera
But why put out some wackness when no one will respect ya?
I'm staying true, nuff respect to those that paved the way
From Bambaataa down to Shah; that be my DJ
Without my peeps I don't know how the hell I'd make it, word
Sometimes I feel that my career is headed for the curb
One love for lending hand and giving all your help
Believing in me when I didn't believe in my own self
The Abstract with whom I'm always making rugged tunes
Kid Hood resting in heaven, I hope to see you soon
I keep things hot and this year they're even hotter
Big Mu and Shah, one day I'll take my shahada
Out
",0.0,"Peace, Prosperity & Paper",This Is A Tribe Called Quest,36.0,https://p.scdn.co/mp3-preview/7f11540a059fb438c707f5c497d273351e7df443?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.333,92.023,4.0,https://api.spotify.com/v1/tracks/0tzssbEHymtRq4Nf1wSyQv,0tzssbEHymtRq4Nf1wSyQv,0.825,2003-06-17,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'pop rap', 'rap']",2003.0
7oPftvlwr6VrsViSDV7fJY,4.63e-05,0.419,1.0,180853.0,0.971,https://api.spotify.com/v1/tracks/3oqYMRKQcwyNmFn1VD2ukD,3oqYMRKQcwyNmFn1VD2ukD,1.43e-05,7.0,0.171,-3.622,"

Scream, with your hands up in the sky
Like you want to testify
For the life that's been deleted
Sing, like a rebel's lullaby
Under the stars and stripes
For the lost souls that were cheated
We will be seen but not be heard

We are Revolution Radio
Operation 'No Control'
And the headline 'My love's bullet proof'
Give me cherry bombs and gasoline
Debutantes in surgery
And the headline 'Legalize the truth'

Give me rage, like there’s tear gas in the crowd
Do you wanna live out loud?
But the air is barely breathing
Rise of the slums to the obsolete
The dawn of the new airwaves for the anti-social media

We are Revolution Radio
Operation 'No Control'
And the headline 'My love's bullet proof'
Give me cherry bombs and gasoline
Debutantes in surgery
And the headline 'Legalize the truth'

We will be seen but not be heard
We are the songs of the disturbed

We are Revolution Radio
Operation 'No Control'
And the headline 'My love's bullet proof'
Give me cherry bombs and gasoline
Debutantes in surgery
And the headline 'Legalize the truth'
",1.0,Revolution Radio,Rise Up,61.0,https://p.scdn.co/mp3-preview/75e4fbc9f2bedbf4853c7e734a77707278ee7340?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0909,180.033,4.0,https://api.spotify.com/v1/tracks/3oqYMRKQcwyNmFn1VD2ukD,3oqYMRKQcwyNmFn1VD2ukD,0.677,2016-10-07,Green Day,"['permanent wave', 'pop punk', 'punk', 'rock']",2016.0
4tNxq9NGKTKaX8OkZBLgf0,0.00131,0.403,1.0,363867.0,0.925,https://api.spotify.com/v1/tracks/7xkwcX1dsnpT8d1Cu8SBFH,7xkwcX1dsnpT8d1Cu8SBFH,0.796,10.0,0.111,-7.744,-99,0.0,I'm For Real,90s House Classics,22.0,https://p.scdn.co/mp3-preview/cf7604a2dba830467dd4aa62a8fd43fa11829676?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.109,190.528,3.0,https://api.spotify.com/v1/tracks/7xkwcX1dsnpT8d1Cu8SBFH,7xkwcX1dsnpT8d1Cu8SBFH,0.327,1990-10-08,Nightmares On Wax,"['acid jazz', 'downtempo', 'electronic', 'nu jazz', 'trip hop']",1990.0
5eAWCfyUhZtHHtBdNk56l1,0.0303,0.274,1.0,189440.0,0.92,https://api.spotify.com/v1/tracks/6oO7WMjD6kEvCITLbVj0mu,6oO7WMjD6kEvCITLbVj0mu,0.000412,6.0,0.115,-4.096,"

Why don't you ask the kids at Tienanmen square?
Was Fashion the reason why they were there?
They disguise it, hypnotize it
Television made you buy it

I'm just sitting in my car and waiting for my

She's scared that I will take her away from there
Her dreams that her country left with no one there
Mesmerized the simple-minded
Propaganda leaves us blinded

I'm just sitting in my car and waiting for my girl
I'm just sitting in my car and waiting for my girl


I'm just sitting in my car and waiting for my girl
I'm just sitting in my car and waiting for my... girl
",1.0,Hypnotize,Rise Up,69.0,https://p.scdn.co/mp3-preview/134b723e412747c9f0319191c46df24fc40b856a?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0489,153.986,4.0,https://api.spotify.com/v1/tracks/6oO7WMjD6kEvCITLbVj0mu,6oO7WMjD6kEvCITLbVj0mu,0.0397,2005-11-22,System Of A Down,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2005.0
58MLl9nC29IXbE4nEtuoP2,0.746,0.5,1.0,185200.0,0.292,https://api.spotify.com/v1/tracks/6soW9pvcXoYrnyVmTC9ErH,6soW9pvcXoYrnyVmTC9ErH,0.0,0.0,0.188,-8.554,"

It's been a minute since I called you
Just to hear the answerphone
Yeah, I know that you won't get this
But I'll leave a message so I'm not alone
This morning I woke up still dreaming
With memories playing through my head
You'll never know how much I miss you
The day that they took you, I wish it was me instead

But you once told me, ""Don't give up
You can do it day by day""
And diamonds, they don't turn to dust or fade away

So I will keep you, day and night, here until the day I die
I'll be living one life for the two of us
I will be the best of me, always keep you next to me
I'll be living one life for the two of us
Even when I'm on my own, I know I won't be alone
Tattooed on my heart are the words of your favourite song
I know you'll be looking down, swear I'm gonna make you proud
I'll be living one life for the two of us

I could feel your blood run through me
You're written in my DNA
Looking back in every mirror
I know you'll be waiting, I'll see you again

But you once told me, ""Don't give up
You can do it day by day""
And diamonds, they don't turn to dust or fade away (Fade away)

So I will keep you, day and night, here until the day I die
I'll be living one life for the two of us
I will be the best of me, always keep you next to me
I'll be living one life for the two of us
Even when I'm on my own, I know I won't be alone
Tattooed on my heart are the words of your favourite song
I know you'll be looking down, swear I'm gonna make you proud
I'll be living one life for the two of us

I promised you I'd do this
So all of this is all for you
Oh, I swear to God you're living
Through everything I'll ever do

So I will keep you, day and night, here until the day I die
I'll be living one life for the two of us
I will be the best of me, always keep you next to me
I'll be living one life for the two of us
Even when I'm on my own, I know I won't be alone
Tattooed on my heart are the words of your favourite song
I know you'll be looking down, swear I'm gonna make you proud
I'll be living one life for the two of us

One life for the two of us
I'll be living one life for the two of us

We'll end just like we started
Just you and me and no one else
I will hold you where my heart is
One life for the two of us
",1.0,Little Do You Know,Chillout Session,63.0,https://p.scdn.co/mp3-preview/8ef3d9b2e67d48f3d7f5074a99762c56a959aacc?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0323,145.879,4.0,https://api.spotify.com/v1/tracks/6soW9pvcXoYrnyVmTC9ErH,6soW9pvcXoYrnyVmTC9ErH,0.37,2014,Alex & Sierra,"['australian pop', 'dance pop', 'indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",2014.0
